Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
DRINKS,375ml Can,,$2.80 ,2.8,1,,,,,,$3.10 ,,3.3,3.08,$3.22 ,$3.22 ,$4.03 ,,,,,,,,,,
,600ml,,$4.00 ,4,2.62,,,,,,$4.40 ,,4.4,4.4,$4.60 ,$4.60 ,$5.72 ,,,,,,,,,,
,1.25l,,$5.00 ,5,1.92,,,,,,$5.50 ,,5.5,5.5,$5.75 ,$5.75 ,$7.15 ,,,,,,,,,,
,2l,,$6.00 ,6,3.5,,,,,,$6.60 ,,6.5,6.6,$6.90 ,$6.90 ,$8.58 ,,,,,,,,,,
,Water 600ml,,$3.00 ,3,0.47,,,,,,$3.30 ,,3.3,3.3,$3.45 ,$3.45 ,$4.29 ,,,,,,,,,,
,Powerade,,$4.50 ,4.5,2.83,,,,,,$5.00 ,,5,4.95,$5.18 ,$5.18 ,$6.50 ,,,,,,,,,,
,Monster,,$4.50 ,3.5,2.42,,,,,,$5.00 ,,4,4.95,$5.18 ,$4.03 ,$6.50 ,,,,,,,,,,
,Iced Tea,,$4.00 ,4,,,,,,,$4.40 ,,4.4,4.4,$4.60 ,$4.60 ,$5.72 ,,,,,,,,,,
,,,,,,,,,,,$0.00 ,,,,,$0.00 ,$0.00 ,,,,,,,,,,
ALL DAY BREAKFAST,Egg And Bacon Sandwich,2 pieces of bacon with fried egg and tomato sauce in super thick white bread,$6.80 ,6,1.3,3,$6.90 ,$6.64 ,$6.25 ,,$7.15 ,$7.90 ,$7.20 ,7.48,$7.82 ,$6.90 ,$9.30 ,,,,,,,,,,
,Egg And Bacon Bun,2 pieces of bacon with fried egg wrapped with tomato sauce in a delicious bun,$6.40 ,6,1.07,3,$6.21 ,$6.00 ,$5.68 ,,$7.10 ,$7.40 ,$6.60 ,7.04,$7.36 ,$6.90 ,$9.23 ,,,,,,,,,,
,,,,,,,,,,,$0.00 ,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
SAUCE,Peri Peri,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
